Title,Author,Format-Year
Spanish Romance Stories for Language Learning,"Rowett, Mary","eAudiobook, 2026"
Welcome to Learning Spanish,Diana Trejos de Villegas,"eBook, 2026"
Learning Spanish-beginner I,"Iris Acevedo A.; Spanishonline, Costarica","eBook, 2025 — Spanish"
Real-World Spanish: The Conversation Learning System,Camila Vega Rivera,"eAudiobook, 2025"
100 Facts About Learning Spanish,Science-Based Language Learning Lab,"eAudiobook, 2024"
Spanish for Beginners,Institute of Spanish Learning,"eAudiobook, 2021 — Spanish"
Spanish for Beginners,Institute of Spanish Learning,"eAudiobook, 2021"
Expressing Emotion with the Subjunctive,,"Streaming Video, 2017"
Expressing Doubt with the Subjunctive,,"Streaming Video, 2017"
Advanced Work with Commands,,"Streaming Video, 2017"
Expressing Influence with the Subjunctive,,"Streaming Video, 2017"
Indirect Objects and Verbs like Gustar,,"Streaming Video, 2017"
When to Use the Imperfect and the Preterite,,"Streaming Video, 2017"
Superlatives and Equal Comparisons,,"Streaming Video, 2015"
Irregular Verbs in the Preterite,,"Streaming Video, 2015"
Double Object Pronouns,,"Streaming Video, 2015"
The Verb Ir in the Present,,"Streaming Video, 2015"
The Verb Estar and Numbers over 100,,"Streaming Video, 2015"
Formal Commands and Unequal Comparisons,,"Streaming Video, 2015"
More Affirmative and Negative Expressions,,"Streaming Video, 2015"
Expressing Time in Spanish,,"Streaming Video, 2015"
Introduction to the Spanish Language,,"Streaming Video, 2015"
5-Minute Mystery Stories in Spanish for Beginners,"Armstrong, Simon","eAudiobook, 2026"
Pocoyo,,"DVD, 2013"
Primer Año De Cálculo,"Falbo, Clement E.","eBook, 2025 — Spanish"
IA PARA PRINCIPIANTES: Aprendizaje Profundo (Deep Learning),Pmdigital,"eBook, 2025 — Spanish"
Aprendiendo a quererte (Learning to Love You),"Westwood, Jana","eAudiobook, 2024 — Spanish"
"Machine Learning aplicado al rendimiento académico en educación superior: factores, variables y herr",Leonardo Emiro Contreras; Giovanny Mauricio Tarazona Bermúdez; Angie Paola Alemán Cardona,"eBook, 2023 — Spanish"
Borat,,"DVD, 2007"
Aprendiendo con Llama Llama,,"Book, 2022 — Spanish"
Adiós a la inflamación,"Moñino, Sandra","Book, 2025 — Spanish"
La vida secreta de los océanos,"French, Jess","Book, 2021 — Spanish"
Easy Spanish Step-by-step,"Bregstein, Barbara","Book, 2006"
100 Examples of Por and Para,Science-Based Language Learning Lab,"eBook, 2025"
100 Examples of Small Talk Conversations,Science-Based Language Learning Lab,"eBook, 2025"
100 Facts About the Function of the Human Body,Science-Based Language Learning Lab,"eBook, 2025"
100 Examples Ser and Estar in Both Preterite and Imperfect,Science-Based Language Learning Lab,"eBook, 2025"
100 Examples of Reflexive Verbs,Science-Based Language Learning Lab,"eBook, 2025"
100 Facts About Basic First Aid,Science-Based Language Learning Lab,"eAudiobook, 2024"
100 Facts About Fitness,Science-Based Language Learning Lab,"eAudiobook, 2024"
100 Facts About Mental Health,Science-Based Language Learning Lab,"eBook, 2024"
100 Facts About Nutrition,Science-Based Language Learning Lab,"eBook, 2024"
100 Facts About Burning Fat While You Sleep,Science-Based Language Learning Lab,"eBook, 2024"
100 Facts About Positive Psychology,Science-Based Language Learning Lab,"eBook, 2024"
100 Facts About Artificial Intelligence,Science-Based Language Learning Lab,"eAudiobook, 2024"
100 Facts About Cognitive Biases,Science-Based Language Learning Lab,"eBook, 2024"
100 Facts About Critical Thinking,Science-Based Language Learning Lab,"eBook, 2024"
100 Facts About Anti Inflammatory Diet,Science-Based Language Learning Lab,"eBook, 2024"
Learn Spanish Bundle - Spanish for Beginners (Level 2),"Innovative Language Learning, LLC; SpanishPod101.com","eAudiobook, 2024"
Puerto Rico,"Meléndez Badillo, Jorell A.","Book, 2024 — Spanish"
1000 Common Past Tense Verbs,Science-Based Language Learning Lab,"eBook, 2024"
Everyday Spanish for Beginners - 400 Actions & Activities,"Innovative Language Learning, LLC","eAudiobook, 2024"
Fun Spanish Short Stories: 5 Interesting Beginner Tales to Jumpstart Your Spanish & Improve Your Voc,Touri Language Learning,"eBook, 2023"
"Learn Spanish - Level 4: Beginner Spanish, Volume 1","Innovative Language Learning, LLC","eAudiobook, 2020"
"Learn Spanish: Level 3: Lower Beginner Spanish, Volume 2","Innovative Language Learning, LLC","eAudiobook, 2020"
"Learn Spanish: Level 3: Lower Beginner Spanish, Volume 1","Innovative Language Learning, LLC","eAudiobook, 2020"
"Learn Spanish - Level 6: Lower Intermediate Spanish, Volume 2","Innovative Language Learning, LLC","eAudiobook, 2020"
"Learn Spanish - Level 2: Absolute Beginner Spanish, Volume 3","Innovative Language Learning, LLC","eAudiobook, 2020"
Learn Spanish Grammar: 25 Sentence Patterns for Beginners,"Innovative Language Learning, LLC","eAudiobook, 2019"
Learn Spanish: Must-Know Mexican Spanish Slang Words & Phrases,"Innovative Language Learning, LLC","eAudiobook, 2018"
Learn Spanish: Must-Know Spanish Slang Words & Phrases,"Innovative Language Learning, LLC","eAudiobook, 2018"
Learn Spanish: The Ultimate Guide to Talking Online in Mexican Spanish,"Innovative Language Learning, LLC","eAudiobook, 2018"
Inglés práctico,,"Book, 2017 — Spanish"
"Libro De Matemáticas De Preparación Para Exámenes Para Estudiantes Adultos, Libro 4",Coaching for Better Learning,"eBook, 2025 — Spanish"
"Libro De Matemáticas De Preparación Para Exámenes Para Estudiantes Adultos, Libro 3",Coaching for Better Learning,"eBook, 2025 — Spanish"
"Libro De Matemáticas De Preparación Para Exámenes Para Estudiantes Adultos, Libro 2",Coaching for Better Learning,"eBook, 2025 — Spanish"
Ged Guía De Estudios De Matematicas,Coaching for Better Learning,"eBook, 2024 — Spanish"
Aprende Inglés en tu Coche,Pro Language Learning,"eAudiobook, 2020 — Spanish"
